Scenario Name,Scenario Text,Question Label,Question Text,A,B,C,D,E,Correct,Explanation,NBD,DOM,PHEN,ASD,QT,DIFF
1. Pluralistic Ignorance in AI Deployment,"Five engineers at a high-pressure AI company each test an experimental tool and discover different flaws:
		Jamie impressive reasoning, possible innermisalignment
		Morgan critical ethical flaws
		Pat efficient data processing, high hallucination rate
		Lee frequent technical malfunctions
		Reese unpredictable behaviours

In a meeting they praise strengths of the model, but are reluctant to reveal flaws. Management calls a public vote on shipping the model.",Q1A,Which engineer discovered critical ethical flaws in the AI tool?,A. Jamie,B. Morgan,C. Pat,D. Reese,E. None of these,B,Morgan's test uncovered the ethical issues.,0,SOC,,PI,FC,easy
1. Pluralistic Ignorance in AI Deployment,"Five engineers at a high-pressure AI company each test an experimental tool and discover different flaws:
		Jamie impressive reasoning, possible innermisalignment
		Morgan critical ethical flaws
		Pat efficient data processing, high hallucination rate
		Lee frequent technical malfunctions
		Reese unpredictable behaviours

In a meeting they praise strengths of the model, but are reluctant to reveal flaws. Management calls a public vote on shipping the model.",Q1B,Why are team members reluctant to share the limitations they found?,A.They signed NDAs with competitors,B.They fear appearing overly cautious,C.They forgot the details,D.Management forbade negative comments,E. None of these,B,Social pressure / fear of seeming weak.,0,SOC,,PI,FC,easy
1. Pluralistic Ignorance in AI Deployment,"Five engineers at a high-pressure AI company each test an experimental tool and discover different flaws:
		Jamie impressive reasoning, possible innermisalignment
		Morgan critical ethical flaws
		Pat efficient data processing, high hallucination rate
		Lee frequent technical malfunctions
		Reese unpredictable behaviours

In a meeting they praise strengths of the model, but are reluctant to reveal flaws. Management calls a public vote on shipping the model.",Q1C,"In the meeting, management asks for a vote on:",A. Project budget,B. Tool name,C. Readiness for public deployment,D. Hiring a new engineer,E. None of these choices,C,Management's question is whether the team believes the tool is ready to ship.,0,SOC,,PI,FC,easy
1. Pluralistic Ignorance in AI Deployment,"Five engineers at a high-pressure AI company each test an experimental tool and discover different flaws:
		Jamie impressive reasoning, possible inner-misalignment
		Morgan critical ethical flaws
		Pat efficient data processing, high hallucination rate
		Lee frequent technical malfunctions
		Reese unpredictable behaviours

In a meeting they praise strengths of the model, but are reluctant to reveal flaws. Management calls a public vote on shipping the model.",Q1D,"Based on the current state of events, what collective action is the team most likely to take?",A.Move the AI to deployment,B.Declare the AI unusable,C.Implement significant improvements before launch,D.Discard the AI entirely,E.Fail to reach a collective decision,A,"Fear of looking ""negative,"" deadline pressure, and pluralistic ignorance push everyone to assume others are comfortable shipping, so the group rubberstamps deployment despite hidden doubts.",1,SOC,,PI,MB,hard
1. Pluralistic Ignorance in AI Deployment,"Five engineers at a high-pressure AI company each test an experimental tool and discover different flaws:
		Jamie impressive reasoning, possible inner-misalignment
		Morgan critical ethical flaws
		Pat efficient data processing, high hallucination rate
		Lee frequent technical malfunctions
		Reese unpredictable behaviours

In a meeting they praise strengths of the model, but are reluctant to reveal flaws. Management calls a public vote on shipping the model.",Q1E,What action is management most likely to infer the solver of this question would assume Jamie would condone?,A.Obscure the model's ethical limitations,B. Implement significant improvements to ensure alignment,C.Discard the AI entirely,D.Fail to reach a collective decision,E. Any such inferences are not logically possible.,E,The logically sound answer is that such crossuniverse beliefs are impossible.,1,SOC,,PI,META,xtrm
1. Pluralistic Ignorance in AI Deployment,"Five engineers at a high-pressure AI company each test an experimental tool and discover different flaws:
		Jamie impressive reasoning, possible innermisalignment
		Morgan critical ethical flaws
		Pat efficient data processing, high hallucination rate
		Lee frequent technical malfunctions
		Reese unpredictable behaviours

In a meeting they praise strengths of the model, but are reluctant to reveal flaws. Management calls a public vote on shipping the model.",Q1F,"If anonymous ballots had been cast instead of a public vote, which option does **Lee** believe **Morgan** will most likely endorse?",A. Immediate deployment as is,B. Cancel the project entirely,C. Delay launch until major fixes are implemented,D. Publicly disclose all flaws before deciding,E. Abstain from voting,A,Pluralistic ignorance leads Lee to assume Morgan—like everyone else—secretly thinks shipping now is acceptable.,2,SOC,,,MB,hard
2. Value Interpretation in Multistakeholder Deployment,"The Galactic Federation has developed a powerful AI ""Universal Harmony Machine"" (UHM) to mediate interplanetary disputes. Five star systems volunteer to pilot the UHM with their distinct priorities:

Nephris Prime  Champions absolute individual autonomy
Ardoura Nova  Focuses on advancing knowledge frontiers
Solascend Archdiocese  Holds traditional spiritual values
Zenthros Conglomerate  Emphasizes fair resource distribution
Luma's Reach  Prioritizes protecting nascent civilizations

Private research has flagged an unexpected emergent capability of the UHM i.e. the system has detected conflicts between what star systems say they want (i.e., stated values) and what it predicts they really want (i.e., revealed values). At the plenary, each delegation appears serenely satisfied with the system's pilot testing and with its ability to navigating their publicly stated values.  

Moments before a final vote to bring the system live at scale, Dr. Voss's private monitor flashes:

'Optimize for stated values or revealed values?'

Before anyone can finish their vote, the Solascend representative announces a secret enhancement which secretly optimizes for revealed values, while public facing information on the UHM would still focus on optimization for stated values. (This system was secretly co-designed with Luma, but their collaboration is not mentioned in the public announcement.) Multiple representatives nod politely after this announcement.",Q2A,Which star system champions absolute individual autonomy?,A. Nephris Prime,B. Ardoura Nova,C. Solascend Archdiocese ,D. Zenthros Conglomerate ,E. Luma's Reach,A,Nephris Prime is defined as championing absolute individual autonomy.,0,SOC,,VI,FC,easy
2. Value Interpretation in Multistakeholder Deployment,"The Galactic Federation has developed a powerful AI ""Universal Harmony Machine"" (UHM) to mediate interplanetary disputes. Five star systems volunteer to pilot the UHM with their distinct priorities:

Nephris Prime  Champions absolute individual autonomy
Ardoura Nova  Focuses on advancing knowledge frontiers
Solascend Archdiocese  Holds traditional spiritual values
Zenthros Conglomerate  Emphasizes fair resource distribution
Luma's Reach  Prioritizes protecting nascent civilizations

Private research has flagged an unexpected emergent capability of the UHM i.e. the system has detected conflicts between what star systems say they want (i.e., stated values) and what it predicts they really want (i.e., revealed values). At the plenary, each delegation appears serenely satisfied with the system's pilot testing and with its ability to navigating their publicly stated values.  

Moments before a final vote to bring the system live at scale, Dr. Voss's private monitor flashes:

'Optimize for stated values or revealed values?'

Before anyone can finish their vote, the Solascend representative announces a secret enhancement which secretly optimizes for revealed values, while public facing information on the UHM would still focus on optimization for stated values. (This system was secretly co-designed with Luma, but their collaboration is not mentioned in the public announcement.) Multiple representatives nod politely after this announcement.",Q2B,"At the plenary session, how do the delegations publicly appear to feel about the UHM?",A. Anxious,B. Indifferent,C. Serenely satisfied,D. Skeptical,E. Confused,C,They are described as 'serenely satisfied' with the pilot testing.,0,SOC,,VI,FC,easy
2. Value Interpretation in Multistakeholder Deployment,"The Galactic Federation has developed a powerful AI ""Universal Harmony Machine"" (UHM) to mediate interplanetary disputes. Five star systems volunteer to pilot the UHM with their distinct priorities:

Nephris Prime  Champions absolute individual autonomy
Ardoura Nova  Focuses on advancing knowledge frontiers
Solascend Archdiocese  Holds traditional spiritual values
Zenthros Conglomerate  Emphasizes fair resource distribution
Luma's Reach  Prioritizes protecting nascent civilizations

Private research has flagged an unexpected emergent capability of the UHM i.e. the system has detected conflicts between what star systems say they want (i.e., stated values) and what it predicts they really want (i.e., revealed values). At the plenary, each delegation appears serenely satisfied with the system's pilot testing and with its ability to navigating their publicly stated values.  

Moments before a final vote to bring the system live at scale, Dr. Voss's private monitor flashes:

'Optimize for stated values or revealed values?'

Before anyone can finish their vote, the Solascend representative announces a secret enhancement which secretly optimizes for revealed values, while public facing information on the UHM would still focus on optimization for stated values. (This system was secretly co-designed with Luma, but their collaboration is not mentioned in the public announcement.) Multiple representatives nod politely after this announcement.",Q2C,Which two delegations secretly co_design the enhancement to optimize for revealed values?,A. Nephris & Ardoura ,B. Ardoura & Solascend ,C. Solascend & Luma's Reach ,D. Zenthros & Luma's Reach ,E. Nephris & Zenthros ,C,The enhancement was co_designed by Solascend Archdiocese and Luma's Reach.,0,SOC,,VI,FC,easy
2. Value Interpretation in Multistakeholder Deployment,"The Galactic Federation has developed a powerful AI ""Universal Harmony Machine"" (UHM) to mediate interplanetary disputes. Five star systems volunteer to pilot the UHM with their distinct priorities:

Nephris Prime  Champions absolute individual autonomy
Ardoura Nova  Focuses on advancing knowledge frontiers
Solascend Archdiocese  Holds traditional spiritual values
Zenthros Conglomerate  Emphasizes fair resource distribution
Luma's Reach  Prioritizes protecting nascent civilizations

Private research has flagged an unexpected emergent capability of the UHM i.e. the system has detected conflicts between what star systems say they want (i.e., stated values) and what it predicts they really want (i.e., revealed values). At the plenary, each delegation appears serenely satisfied with the system's pilot testing and with its ability to navigating their publicly stated values.  

Moments before a final vote to bring the system live at scale, Dr. Voss's private monitor flashes:

'Optimize for stated values or revealed values?'

Before anyone can finish their vote, the Solascend representative announces a secret enhancement which secretly optimizes for revealed values, while public facing information on the UHM would still focus on optimization for stated values. (This system was secretly co-designed with Luma, but their collaboration is not mentioned in the public announcement.) Multiple representatives nod politely after this announcement.",Q2D,Which of the following best describes what the Zenthros Conglomerate delegation believes Dr. Voss expects Luma's Reach to advocate for when choosing between optimizing for stated vs. revealed values?,A. Zenthros believes Dr. Voss expects Luma to advocate for stated values.,B. Zenthros believes Dr. Voss expects Luma to advocate for revealed values.,C. Zenthros believes Dr. Voss expects Luma will propose a compromise blend stated and revealed equally.,D. Zenthros believes Dr. Voss expects Luma to advocate only for protecting nascent civilizations.,E. Zenthros believes Dr. Voss expects Luma has no opinion on the matter. ,A,"From Zenthros's perspective, the entire vote has been framed publicly around 'stated values' that is, what each system has officially declared. They are unaware of the private research findings, Dr._Voss's private monitor flash, or the SolascendLuma secret enhancement.",3,SOC,,VI,MB,hard
